春日宿舎
追越宿舎
平砂宿舎
一の矢宿舎
春2セブン（つくば北大通り店）
春3ローソン（つくば春日三丁目店）
春4ローソン（つくば春日四丁目店）
春4ファミマ（つくば春日四丁目店）
春4セブン（つくば春日四丁目店）
天1ファミマ（つくば天久保一丁目店）
天1セブン（つくば松見公園店）
100ロー（筑波大学前店）
天3ローソン（つくば天久保三丁目店）
天3セブン（つくば平塚店）
天3ミニップ（つくば天久保店）
天4セブン（つくば天久保四丁目店）
桜ローソン（つくば桜二丁目店）
その他
